iter	Passed	Remaining
404	6607	9706
405	6622	9689
406	6638	9671
407	6653	9654
408	6668	9636
409	6684	9619
410	6699	9601
411	6715	9584
412	6730	9566
413	6746	9549
414	6761	9531
415	6776	9513
416	6791	9495
417	6807	9478
418	6822	9460
419	6838	9443
420	6854	9426
421	6869	9409
422	6884	9391
423	6899	9373
424	6915	9356
425	6931	9339
426	6948	9324
427	6965	9308
428	6980	9290
429	6995	9272
430	7010	9255
431	7025	9237
432	7040	9219
433	7056	9203
434	7072	9185
435	7087	9168
436	7103	9151
437	7118	9134
438	7134	9117
439	7149	9099
440	7165	9082
441	7181	9066
442	7196	9048
443	7211	9030
444	7226	9013
445	7241	8995
446	7257	8978
447	7273	8961
448	7288	8943
449	7303	8926
450	7318	8909
451	7334	8891
452	7349	8874
453	7365	8858
454	7381	8840
455	7396	8824
456	7412	8806
457	7427	8789
458	7442	8772
459	7457	8754
460	7475	8740
461	7491	8724
462	7507	8707
463	7523	8690
464	7538	8673
465	7553	8655
466	7568	8638
467	7584	8621
468	7599	8604
469	7614	8586
470	7629	8569
471	7645	8552
472	7660	8535
473	7675	8517
474	7690	8500
475	7706	8483
476	7721	8466
477	7736	8448
478	7751	8431
479	7767	8414
480	7782	8397
481	7798	8380
482	7813	8363
483	7829	8346
484	7844	8329
485	7860	8312
486	7875	8296
487	7891	8279
488	7907	8262
489	7922	8245
490	7937	8228
491	7952	8210
492	7967	8193
493	7983	8176
494	7999	8160
495	8014	8143
496	8030	8127
497	8046	8110
498	8061	8093
499	8076	8076
500	8092	8060
501	8107	8043
502	8122	8026
503	8138	8009
504	8153	7991
505	8168	7974
506	8183	7957
507	8199	7940
508	8215	7924
509	8230	7907
510	8245	7890
511	8261	7873
512	8276	7856
513	8291	7840
514	8308	7824
515	8323	7807
516	8339	7790
517	8354	7773
518	8369	7756
519	8385	7740
520	8400	7722
521	8415	7706
522	8431	7690
523	8447	7673
524	8462	7656
525	8477	7639
526	8493	7623
527	8510	7608
528	8529	7594
529	8546	7578
530	8561	7561
531	8576	7544
532	8591	7527
533	8606	7510
534	8622	7494
535	8638	7478
536	8654	7462
537	8670	7445
538	8686	7429
539	8701	7412
540	8716	7395
541	8732	7378
542	8747	7362
543	8763	7345
544	8778	7329
545	8794	7312
546	8809	7295
547	8825	7279
548	8841	7263
549	8857	7246
550	8872	7230
551	8887	7213
552	8903	7196
553	8918	7180
554	8934	7163
555	8950	7147
556	8965	7130
557	8980	7113
558	8995	7096
559	9010	7079
560	9025	7062
561	9040	7045
562	9056	7029
563	9072	7013
564	9087	6996
565	9102	6979
566	9118	6963
567	9133	6946
568	9148	6929
569	9163	6913
570	9179	6896
571	9194	6879
572	9209	6863
573	9225	6846
574	9240	6829
575	9256	6813
576	9271	6797
577	9287	6780
578	9303	6764
579	9320	6748
580	9335	6732
581	9351	6716
582	9366	6699
583	9383	6683
584	9397	6666
585	9412	6649
586	9427	6633
587	9442	6616
588	9457	6599
589	9475	6584
590	9490	6567
591	9505	6551
592	9521	6534
593	9536	6518
594	9551	6501
595	9567	6485
596	9582	6468
597	9597	6451
598	9612	6435
599	9627	6418
600	9642	6401
601	9657	6385
602	9673	6368
603	9689	6352
604	9704	6336
605	9720	6319
606	9735	6303
607	9750	6286
608	9766	6270
609	9782	6254
610	9798	6238
611	9813	6221
612	9828	6204
613	9843	6188
614	9858	6171
615	9874	6155
616	9889	6138
617	9904	6122
618	9920	6106
619	9935	6089
620	9951	6073
621	9966	6056
622	9982	6040
623	9998	6024
624	10013	6008
625	10029	5992
626	10045	5975
627	10060	5959
628	10075	5942
629	10090	5926
630	10106	5909
631	10121	5893
632	10136	5876
633	10151	5860
634	10166	5843
635	10181	5827
636	10196	5810
637	10212	5794
638	10228	5778
639	10243	5761
640	10258	5745
641	10274	5729
642	10289	5712
643	10304	5696
644	10320	5680
645	10335	5663
646	10350	5647
647	10366	5631
648	10382	5614
649	10397	5598
650	10413	5582
651	10428	5566
652	10443	5549
653	10458	5533
654	10474	5516
655	10489	5500
656	10504	5484
657	10520	5468
658	10535	5451
659	10551	5435
660	10566	5419
661	10582	5403
662	10597	5386
663	10613	5370
664	10629	5354
665	10644	5338
666	10660	5322
667	10676	5306
668	10691	5289
669	10707	5273
670	10722	5257
671	10737	5241
672	10753	5224
673	10768	5208
674	10783	5192
675	10799	5175
676	10814	5159
677	10829	5143
678	10846	5127
679	10862	5111
680	10878	5095
681	10895	5080
682	10910	5063
683	10925	5047
684	10941	5031
685	10957	5015
686	10973	4999
687	10988	4983
688	11003	4966
689	11018	4950
690	11033	4934
691	11049	4917
692	11065	4902
693	11081	4885
694	11096	4869
695	11112	4853
696	11127	4837
697	11143	4821
698	11159	4805
699	11174	4789
700	11190	4772
701	11205	4756
702	11220	4740
703	11235	4723
704	11250	4707
705	11265	4691
706	11281	4675
707	11296	4659
708	11311	4642
709	11327	4626
710	11342	4610
711	11358	4594
712	11373	4578
713	11388	4561
714	11406	4546
715	11422	4530
716	11438	4514
717	11454	4498
718	11470	4482
719	11485	4466
720	11500	4450
721	11515	4434
722	11531	4417
723	11546	4401
724	11561	4385
725	11576	4369
726	11592	4353
727	11607	4337
728	11623	4320
729	11639	4304
730	11654	4288
731	11670	4272
732	11686	4256
733	11701	4240
734	11716	4224
735	11731	4208
736	11746	4191
737	11761	4175
738	11776	4159
739	11792	4143
740	11807	4126
741	11822	4110
742	11837	4094
743	11853	4078
744	11869	4062
745	11884	4046
746	11900	4030
747	11915	4014
748	11930	3998
749	11945	3981
750	11960	3965
751	11975	3949
752	11991	3933
753	12007	3917
754	12022	3901
755	12037	3885
756	12052	3869
757	12067	3852
758	12082	3836
759	12097	3820
760	12112	3804
761	12128	3788
762	12143	3771
763	12158	3755
764	12173	3739
765	12188	3723
766	12204	3707
767	12220	3691
768	12235	3675
769	12251	3659
770	12266	3643
771	12281	3627
772	12297	3611
773	12312	3595
774	12328	3579
775	12343	3563
776	12359	3547
777	12374	3530
778	12388	3514
779	12404	3498
780	12419	3482
781	12435	3466
782	12455	3451
783	12475	3437
784	12497	3422
785	12519	3408
786	12540	3394
787	12565	3380
788	12585	3365
789	12604	3350
790	12623	3335
791	12643	3320
792	12665	3306
793	12686	3291
794	12706	3276
795	12726	3261
796	12749	3247
797	12768	3232
798	12787	3216
799	12805	3201
